Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2025-02-24 08:44:11.823 -0500,"Failure",0:00:00,1,0,1,"20250224_084411.823/LogFile.txt","","Parameter error --  is not a recognized screen portion.",0
2025-02-24 08:44:50.543 -0500,"Aborted",0:01:10,1,0,0,"20250224_084450.543/LogFile.txt","","",0
